[Fri Apr 03 13:23:37 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:24:07 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 13:24:07 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:24:08 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:26:23 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 13:26:23 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:26:23 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:27:28 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 13:27:28 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:27:28 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:28:54 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 13:28:54 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:28:54 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:29:20 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 13:29:20 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:29:20 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:38:06 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 13:38:06 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:38:07 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:39:40 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 13:39:40 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:39:40 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:39:41 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 13:39:41 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:39:42 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:40:14 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 13:40:14 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:40:14 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:40:43 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 13:40:43 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:40:43 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 18:07:26 2015] [error] [client ::1] File does not exist: /home/rails/animulti/undefined, referer: http://animulti/index.html
